street_number	street_direction	street_name	street_type	unit_type	unit_number	city	state_abbrev	zip
5		Howard	Dr.			Colorado Springs	CO	80911
5		Hudson	Ave.			Canonsburg	PA	15317
5		Hudson	Street			Ada	OK	74820
5		Illinois	Road			Bemidji	MN	56601
5		Illinois	Street			Bethpage	NY	11714
5		Indian Summer	Lane			Davenport	IA	52804
5		Indian Summer	St.			Somerset	NJ	08873
5		Inverness	Court			Centreville	VA	20120
5		Ivy	Lane			Mankato	MN	56001
5		Jackson	St.			Mount Prospect	IL	60056
5		Jackson	Street			Mount Holly	NJ	08060
5		Jennings	St.			Ridgecrest	CA	93555
5		Jockey Hollow	St.			Moncks Corner	SC	29461
5		John	Rd.			Middletown	CT	06457
5		Johnson	Avenue			Fishers	IN	46037
5		Johnson	Drive			Boca Raton	FL	33428
5		Ketch Harbour	Ave.			South El Monte	CA	91733
5		Ketch Harbour	Circle			Muskogee	OK	74403
5		King	Rd.			Beachwood	OH	44122
5		Kingston	St.			Easley	SC	29640
5		Lake Forest	Drive			Lady Lake	FL	32159
5		Lakewood	St.			Ocean Springs	MS	39564
5		Laurel	Dr.			Phoenixville	PA	19460
5		Lees Creek	Drive			Quakertown	PA	18951
5		Lees Creek	Street			Cumberland	RI	02864
5		Lincoln	Ave.			New Brunswick	NJ	08901
5		Lincoln	St.			New Rochelle	NY	10801
5		Linden	Court			Harrisonburg	VA	22801
5		Littleton	Drive			Pearl	MS	39208
5		Livingston	Dr.			Gainesville	VA	20155
5		Livingston	St.			Santa Monica	CA	90403
5		Logan	Street			Mays Landing	NJ	08330
5		Lookout	St.			Champlin	MN	55316
5		Maiden	Street			Carmel	NY	10512
5		Mammoth	Dr.			Germantown	MD	20874
5		Maple	Drive			Benton Harbor	MI	49022
5		Market	Circle			Providence	RI	02904
5		Market	St.			Montclair	NJ	07042
5		Marlborough	Ave.			Tucson	AZ	85718
5		Marshall	Road			Teaneck	NJ	07666
5		Marshall	St.			Taylor	MI	48180
5		Marvon	Street			Hollis	NY	11423
5		Marvon	Street			Scotch Plains	NJ	07076
5		Meadow	Street			Hanover	PA	17331
5		Meadowbrook	Lane			Waynesboro	PA	17268
5		Mechanic	Dr.			Valrico	FL	33594
5		Mechanic	Street			Simpsonville	SC	29680
5		Miles	St.			Norfolk	VA	23503
5		Miller	Street			Calumet City	IL	60409
5		Monroe	Street			Montclair	NJ	07042
5		Mountainview	Lane			Waterford	MI	48329
5		Mulberry	Lane			Houston	TX	77016
5		Myers	Street			Lawrenceville	GA	30043
5		Myrtle	Ave.			Greer	SC	29650
5		Newcastle	Drive			Kennewick	WA	99337
5		Newcastle	Drive			Stevens Point	WI	54481
5		Newport	Dr.			Winchester	VA	22601
5		Newport	Street			Green Bay	WI	54302
5		Nicolls	St.			Mchenry	IL	60050
5		North	St.			Niceville	FL	32578
5		North Adams	Ave.			Marquette	MI	49855
5		North Bay	Drive			Corona	NY	11368
5		North Fordham	Dr.			Lady Lake	FL	32159
5		North Green Hill	St.			Ashland	OH	44805
5		North Lincoln	Street			Saint Johns	FL	32259
5		North Mayfield	St.			Billerica	MA	01821
5		North Schoolhouse	Road			Shelbyville	TN	37160
5		North Spring	Rd.			Irvington	NJ	07111
5		Oakland	Court			Basking Ridge	NJ	07920
5		Ohio	Street			Madison Heights	MI	48071
5		Oklahoma	Ave.			Key West	FL	33040
5		Old Lafayette 	Street			Lacey	WA	98503
5		Old Tarkiln Hill	Street			Madison	AL	35758
5		Orchard	St.			Valdosta	GA	31601
5		Overlook	Ave.			Hopewell	VA	23860
5		Overlook	Dr.			Cedar Rapids	IA	52402
5		Parker	Dr.			Beachwood	OH	44122
5		Peachtree	Road			Rock Hill	SC	29730
5		Pearl	Drive			Smyrna	GA	30080
5		Peg Shop	Ave.			Venice	FL	34293
5		Pennsylvania	Ave.			Crystal Lake	IL	60014
5		Pheasant	Ave.			Natchez	MS	39120
5		Philmont	Road			Matthews	NC	28104
5		Philmont	St.			Chester	PA	19013
5		Pine	St.			Sewell	NJ	08080
5		Pineknoll	St.			Boca Raton	FL	33428
5		Pleasant	Street			Woonsocket	RI	02895
5		Poor House	Lane			La Porte	IN	46350
5		Poor House	St.			Pittsfield	MA	01201
5		Poplar	Dr.			Land O Lakes	FL	34639
5		Poplar	Drive			Ravenna	OH	44266
5		Princess	Ave.			Phillipsburg	NJ	08865
5		Princess	Street			Los Angeles	CA	90008
5		Princeton	Street			Great Falls	MT	59404
5		Princeton	Street			Key West	FL	33040
5		Proctor	St.			Andover	MA	01810
5		Prospect	Avenue			Hernando	MS	38632
5		Queen	St.			Morton Grove	IL	60053
5		Race	St.			Faribault	MN	55021
5		Randall Mill	Court			Morgantown	WV	26508
5		Randall Mill	Street			Jamaica Plain	MA	02130
5		Redwood	Ave.			Jonesboro	GA	30236
5		Richardson	Lane			Wantagh	NY	11793
5		Ridgeview	Road			Cordova	TN	38016
5		River	St.			Anaheim	CA	92806
5		Riverside	St.			Culpeper	VA	22701
5		Riverview	Street			Palm Beach Gardens	FL	33410
5		Roberts	Street			Hudson	NH	03051
5		Rock Creek	Rd.			Easton	PA	18042
5		Rock Creek	St.			Fayetteville	NC	28303
5		Rockcrest	Ave.			Coram	NY	11727
5		Rockland	Ave.			Chaska	MN	55318
5		Rockland	Circle			Tiffin	OH	44883
5		Rockland	Street			Battle Creek	MI	49015
5		Rockville	Drive			Allentown	PA	18102
5		Rocky River	Street			Meriden	CT	06450
5		Roosevelt	Lane			Calhoun	GA	30701
5		Santa Clara	St.			Westland	MI	48185
5		Saxon	St.			Kent	OH	44240
5		Schoolhouse	Ave.			Montgomery	AL	36109
5		Selby	Street			Westland	MI	48185
5		Shadow Brook	Lane			Catonsville	MD	21228
5		Shady	Dr.			Woodhaven	NY	11421
5		Sheffield	Ave.			Prattville	AL	36067
5		Sheffield	Court			Windsor	CT	06095
5		Sheffield	St.			Essex	MD	21221
5		Sheffield	Street			Beltsville	MD	20705
5		Sherman	Avenue			Lumberton	NC	28358
5		Shipley	Rd.			Carrollton	GA	30117
5		Shirley	Ave.			Canal Winchester	OH	43110
5		Shore	Circle			Norwich	CT	06360
5		Shub Farm	Street			Uniondale	NY	11553
5		Silver Spear	Drive			De Pere	WI	54115
5		Silver Spear	Street			Feasterville Trevose	PA	19053
5		Silver Spear	Street			Westminster	MD	21157
5		Sleepy Hollow	Rd.			Massillon	OH	44646
5		Sleepy Hollow	Road			Hyde Park	MA	02136
5		Sleepy Hollow	St.			Thibodaux	LA	70301
5		Smith	Lane			Valparaiso	IN	46383
5		Smoky Hollow	Street			Plainview	NY	11803
5		South Addison	Rd.			Tiffin	OH	44883
5		South Arnold	Ave.			Terre Haute	IN	47802
5		South Birchwood	Lane			Muscatine	IA	52761
5		South Euclid	Court			Park Ridge	IL	60068
5		South Jefferson	Lane			Cranberry Twp	PA	16066
5		South Johnson	Avenue			Cary	NC	27511
5		South Rockwell	St.			Oak Forest	IL	60452
5		South Saxton	Court			Anderson	SC	29621
5		South Selby	Street			Milton	MA	02186
5		South Sherwood	Court			East Northport	NY	11731
5		South Sunset	Drive			San Carlos	CA	94070
5		South Tallwood	Dr.			Mcallen	TX	78501
5		South Union	Street			Deltona	FL	32725
5		South Vermont	Street			Lorain	OH	44052
5		South Walnutwood	Drive			Hamilton	OH	45011
5		Southampton	Ave.			Worcester	MA	01604
5		Spruce	Dr.			Bismarck	ND	58501
5		St Louis	Ave.			Cherry Hill	NJ	08003
5		St Louis	Dr.			Chevy Chase	MD	20815
5		St Louis	Lane			Gibsonia	PA	15044
5		Stonybrook	St.			Prior Lake	MN	55372
5		Sugar	Court			Brooklyn	NY	11201
5		Sulphur Springs	Rd.			Mount Juliet	TN	37122
5		Sunbeam	St.			Dorchester	MA	02125
5		Sunnyslope	Rd.			Streamwood	IL	60107
5		Sunnyslope	St.			Deland	FL	32720
5		Surrey	Drive			Mesa	AZ	85203
5		Sussex	Ave.			Canfield	OH	44406
5		Swanson	St.			Madisonville	KY	42431
5		Talbot	Lane			Haines City	FL	33844
5		Tanglewood	St.			Kernersville	NC	27284
5		Tarkiln Hill	Ave.			Morganton	NC	28655
5		Tarkiln Hill	Court			Dunedin	FL	34698
5		Taylor	Ave.			Mchenry	IL	60050
5		Taylor	Drive			Frederick	MD	21701
5		Thatcher	Avenue			Staten Island	NY	10301
5		Thomas	St.			Goose Creek	SC	29445
5		Thomas	St.			South Richmond Hill	NY	11419
5		Thompson	Court			Little Rock	AR	72209
5		Thorne	St.			Stafford	VA	22554
5		Trenton	Road			Raleigh	NC	27603
5		Tunnel	Dr.			Miamisburg	OH	45342
5		Valley	Rd.			Nicholasville	KY	40356
5		Valley View	Drive			Newport News	VA	23601
5		Vernon	Circle			Essex	MD	21221
5		Vernon	Lane			Jamaica Plain	MA	02130
5		Vernon	St.			Jacksonville Beach	FL	32250
5		Victoria	Rd.			Avon	IN	46123
5		Wagon	Lane			Hyattsville	MD	20782
5		Wall	Road			Waukesha	WI	53186
5		Walnut	Rd.			Severn	MD	21144
5		Walnutwood	Lane			Dacula	GA	30019
5		Walnutwood	Street			Commack	NY	11725
5		Warren	Street			North Kingstown	RI	02852
5		Water	Rd.			Lagrange	GA	30240
5		Wayne	St.			Fairhope	AL	36532
5		Wellington	Road			Hightstown	NJ	08520
5		Wentworth	Ave.			Independence	KY	41051
5		West	Lane			Bel Air	MD	21014
5		West Baker	Avenue			Hermitage	TN	37076
5		West Brook	St.			West Hempstead	NY	11552
5		West Deerfield	Court			Washington	PA	15301
5		West Fifth	St.			Rockaway	NJ	07866
5		West Fulton	Street			Rockledge	FL	32955
5		West Lancaster	Drive			Land O Lakes	FL	34639
5		West Wilson	St.			Miami Beach	FL	33139
5		Westport	St.			Sylvania	OH	43560
5		Westport	St.			Waterbury	CT	06705
5		White	Street			Mcallen	TX	78501
5		Willow	Court			Leesburg	VA	20175
5		Willow	Dr.			Orange	NJ	07050
5		Willow	Rd.			Los Angeles	CA	90008
5		Wilson	Drive			Troy	NY	12180
5		Wilson	St.			Hephzibah	GA	30815
5		Wilson	Street			Upper Marlboro	MD	20772
5		Winchester	Street			Sioux City	IA	51106
5		Windfall	Ave.			Menasha	WI	54952
5		Wood	Lane			Cranston	RI	02920
5		Wood	St.			Panama City	FL	32404
5		Woodland	Drive			Westbury	NY	11590
5		Woodsman	St.			Commack	NY	11725
5	E. 	Bald Hill	Drive			Bridgeport	CT	06606
5	E. 	Border	Drive			Augusta	GA	30906
5	E. 	Canterbury	Court			Barberton	OH	44203
5	E. 	Lookout	Dr.			Germantown	MD	20874
5	E. 	Pleasant	Drive			Fargo	ND	58102
5	E. 	Proctor	St.			Antioch	TN	37013
5	E. 	Rosewood	St.			Dubuque	IA	52001
5	E. 	Sage	St.			Longview	TX	75604
5	E. 	Shady	Drive			Navarre	FL	32566
5	E. 	Sunnyslope	Dr.			Bartlett	IL	60103
5	E. 	Sussex	Street			Indian Trail	NC	28079
5	E. 	Theatre	Lane			Xenia	OH	45385
5	E. 	Tunnel	Ave.			Williamsburg	VA	23185
5	N. 	Clinton	Ave.			Jamestown	NY	14701
5	N. 	Garfield	Dr.			Westfield	MA	01085
5	N. 	Hall	Ave.			Inman	SC	29349
5	N. 	Longbranch	Ave.			Atlantic City	NJ	08401
5	N. 	Nichols	Ave.			Independence	KY	41051
5	N. 	Redwood	Street			Billings	MT	59101
5	N. 	Ridgewood	Rd.			Urbandale	IA	50322
5	N. 	Saxton	St.			Patchogue	NY	11772
5	N. 	Sycamore	Drive			San Angelo	TX	76901
5	NE. 	Oxford	Rd.			Bridgeport	CT	06606
5	NE. 	Rockaway	Lane			Kissimmee	FL	34741
5	NE. 	Shipley	Ave.			Dedham	MA	02026
5	S. 	Bear Hill	St.			Fort Dodge	IA	50501
5	S. 	Cambridge	Rd.			Jackson Heights	NY	11372
5	S. 	Fieldstone	Street			Yakima	WA	98908
5	S. 	Myrtle	Lane			Frankfort	KY	40601
5	S. 	Peachtree	Road			Asheboro	NC	27205
5	S. 	William	Ave.			Macomb	MI	48042
5	S. 	Windsor	Lane			New Britain	CT	06051
5	SE. 	Academy	Road			Roseville	MI	48066
5	SE. 	Harrison	Court			Doylestown	PA	18901
5	SE. 	Pulaski	Street			Peabody	MA	01960
5	SW. 	Airport	Road			Grovetown	GA	30813
5	W. 	Bohemia	St.			Mokena	IL	60448
5	W. 	Maple	Ave.			West Springfield	MA	01089
5	W. 	Sage	Drive			Hopewell	VA	23860
50		53rd	Street			Huntersville	NC	28078
50		Academy	Road			Owosso	MI	48867
50		Addison	Avenue			Rochester	NY	14606
50		Albany	Ave.			Lakeland	FL	33801
50		Andover	Drive			Laurel	MD	20707
50		Armstrong	Street			Paducah	KY	42001
50		Arrowhead	Drive			Encino	CA	91316
50		Aspen	Dr.			Marshfield	WI	54449
50		Atlantic	Rd.			East Lansing	MI	48823
50		Augusta	Ave.			Macon	GA	31204
50		Baker	Lane			Suffolk	VA	23434
50		Baker	Street			Essex	MD	21221
50		Bedford	Dr.			Miami Gardens	FL	33056
50		Beech	Drive			West Lafayette	IN	47906
50		Bellevue	St.			Wethersfield	CT	06109
50		Boston	St.			Biloxi	MS	39532
50		Bridge	St.			Jacksonville	NC	28540
50		Bridgeton	St.			Vernon Hills	IL	60061
50		Brook	Court			Chelmsford	MA	01824
50		Brown	Dr.			New Brunswick	NJ	08901
50		Buttonwood	Street			Apex	NC	27502
50		Canterbury	Ave.			Galloway	OH	43119
50		Carson	Lane			Coram	NY	11727
50		Circle	Rd.			West Palm Beach	FL	33404
50		Clark	Lane			Hobart	IN	46342
50		College	Drive			Midland	MI	48640
50		College	Street			Snohomish	WA	98290
50		Columbia	Lane			Omaha	NE	68107
50		Country Club	Drive			Tonawanda	NY	14150
50		Courtland	Circle			Beaver Falls	PA	15010
50		Cypress	St.			Elizabeth City	NC	27909
50		Delaware	Drive			Brighton	MA	02135
50		Delaware	Lane			Torrington	CT	06790
50		Dunbar	Ave.			Rosedale	NY	11422
50		Eagle	Ave.			Madisonville	KY	42431
50		Eagle	St.			Roswell	GA	30075
50		East	Ave.			Troy	NY	12180
50		East	Dr.			Hollywood	FL	33020
50		East Marconi	Dr.			Paramus	NJ	07652
50		East Sycamore	Street			Port Richey	FL	34668
50		East Vernon	St.			Coatesville	PA	19320
50		East Winchester	Court			Leesburg	VA	20175
50		Elmwood	Court			Harleysville	PA	19438
50		Euclid	Rd.			Huntley	IL	60142
50		Gainsway	Lane			Mahwah	NJ	07430
50		Glen Creek	Court			Bayside	NY	11361
50		Glen Creek	Street			Pittsburgh	PA	15206
50		Glen Eagles	Avenue			Griffin	GA	30223
50		Golf	Ave.			Athens	GA	30605
50		Golf	Avenue			Enterprise	AL	36330
50		Grant	St.			Jenison	MI	49428
50		Griffin	Dr.			Downers Grove	IL	60515
50		Hill	Drive			Davenport	IA	52804
50		Hilldale	St.			Waxhaw	NC	28173
50		Indian Summer	St.			Marion	NC	28752
50		Jockey Hollow	Ave.			Fairmont	WV	26554
50		Johnson	St.			Winter Park	FL	32792
50		La Sierra	Ave.			Antioch	TN	37013
50		Lafayette	Rd.			Hallandale	FL	33009
50		Lees Creek	Lane			Easley	SC	29640
50		Liberty	Dr.			Port Washington	NY	11050
50		Lilac	Dr.			Defiance	OH	43512
50		Lilac	Dr.			Leesburg	VA	20175
50		Littleton	Ave.			Grand Haven	MI	49417
50		Logan	Lane			Howell	NJ	07731
50		Longbranch	Road			Mableton	GA	30126
50		Longbranch	St.			Belleville	NJ	07109
50		Lookout	St.			Commack	NY	11725
50		Manor	Ave.			San Pablo	CA	94806
50		Manor	St.			Hartford	CT	06106
50		Maple	Dr.			North Wales	PA	19454
50		Market	Dr.			Northville	MI	48167
50		Marshall	Dr.			Zanesville	OH	43701
50		Middle River	Drive			Meriden	CT	06450
50		Miles	Rd.			Terre Haute	IN	47802
50		North Ashley	St.			Rock Hill	SC	29730
50		North Canal	Road			Oxnard	CA	93035
50		North Marconi	St.			Hickory	NC	28601
50		North Spring	Drive			Morgantown	WV	26508
50		Nut Swamp	Street			North Brunswick	NJ	08902
50		Ohio	St.			La Crosse	WI	54601
50		Old York	St.			Rosemount	MN	55068
50		Parker	St.			Lake Villa	IL	60046
50		Penn	St.			Stroudsburg	PA	18360
50		Pennington	Avenue			North Kingstown	RI	02852
50		Plumb Branch	Ave.			Ocean Springs	MS	39564
50		Primrose	St.			Morrisville	PA	19067
50		Prospect	Rd.			Brandon	FL	33510
50		Pumpkin Hill	Street			Greensburg	PA	15601
50		Ramblewood	Avenue			Riverview	FL	33569
50		Ridgewood	St.			Sterling	VA	20164
50		Rocky River	St.			Ossining	NY	10562
50		Rocky River	St.			Silver Spring	MD	20901
50		Selby	St.			Mount Vernon	NY	10550
50		Shady	St. 	Suite	40	Harlingen	TX	78552
50		Sheffield	Drive			Minneapolis	MN	55406
50		Shore	Ave.			Ft Mitchell	KY	41017
50		South	Street			Chelsea	MA	02150
50		South Coffee	Dr.			Savannah	GA	31404
50		South Dunbar	Dr.			Glenview	IL	60025
50		South Edgemont	Drive			State College	PA	16801
50		South Whitemarsh	St.			Rockford	MI	49341
50		Stonybrook	Avenue			Reidsville	NC	27320
50		Summit	Drive			Powell	TN	37849
50		Summit	Street			Taylors	SC	29687
50		Summit	Street			Youngstown	OH	44512
50		Surrey	Drive			Langhorne	PA	19047
50		Trusel	Ave.			Lombard	IL	60148
50		Tunnel	St.			Champlin	MN	55316
50		Van Dyke	St.			Butler	PA	16001
50		Wagon	St.			Saint Joseph	MI	49085
50		Walnutwood	St.			Altamonte Springs	FL	32714
50		West 8th	Drive			Avon Lake	OH	44012
50		West Arnold	St.			Stockbridge	GA	30281
50		West Broad	Dr.			Lutherville Timonium	MD	21093
50		West Cherry Hill	St.			Point Pleasant Beach	NJ	08742
50		West Leatherwood	Court			Mokena	IL	60448
50		West Market	St.			Findlay	OH	45840
50		West Oakwood	St.			Springfield	PA	19064
50		Winchester	Ave.			El Paso	TX	79930
50		Windfall	Dr.			Newtown	PA	18940
50		Woodside	Dr.			Clinton Township	MI	48035
50		Young	Court			Colorado Springs	CO	80911
50	E. 	Gulf	Ave.			Bethpage	NY	11714
50	E. 	Riverview	Ave.			Passaic	NJ	07055
50	N. 	Howard	Ave.			Ravenna	OH	44266
50	NW. 	Second	Ave.			Yorktown	VA	23693
50	S. 	Dunbar	Road			Dundalk	MD	21222
50	S. 	Prince	St.			Trumbull	CT	06611
50	S. 	Redwood	St.			Miamisburg	OH	45342
50	SE. 	Manor Station	Dr.			Yuma	AZ	85365
50	W. 	Alderwood	Street			Long Branch	NJ	07740
50	W. 	Glenlake	Court			Oceanside	NY	11572
50	W. 	Temple	Drive			Algonquin	IL	60102
50	W. 	Williams	St.			Pickerington	OH	43147
500		Arrowhead	Drive			Williamsport	PA	17701
500		Bedford	Rd.			Delaware	OH	43015
500		Bradford	Street			Lake Mary	FL	32746
500		East Roehampton	St.			Erie	PA	16506
500		Franklin	Court			Niagara Falls	NY	14304
500		Fremont	Ave.			Far Rockaway	NY	11691
500		Ivy	St.			Tiffin	OH	44883
500		Jones	Ave.			West Orange	NJ	07052
500		Joy Ridge	Rd.			Tacoma	WA	98444
500		Lake Forest	Circle			Garden City	NY	11530
500		Lawrence	St.			Glasgow	KY	42141
500		Olive	Court			Coraopolis	PA	15108
500		Riverside	St.			Waldorf	MD	20601
500		Somerset	Street			Omaha	NE	68107
500		Stillwater	Drive			Hilliard	OH	43026
500		West	Court			Deltona	FL	32725
500		West Linden	Ave.			Pelham	AL	35124
500		Whitemarsh	St.			Anoka	MN	55303
500A		Oakland	St.			Cuyahoga Falls	OH	44221
501		Buckingham	Avenue			Port Chester	NY	10573
501		Canterbury	Drive			Racine	WI	53402
501		Cobblestone	St.			Wakefield	MA	01880
501		College	Court			Saint Albans	NY	11412
501		Cottage	Dr.			Gettysburg	PA	17325
501		Deerfield	Drive			Everett	MA	02149
501		Division	St.			Calhoun	GA	30701
501		Fulton	Lane			Oviedo	FL	32765
501		Hall	Street			Hobart	IN	46342
501		Hartford	Court			Taylor	MI	48180
501		Hill	Drive			Woodhaven	NY	11421
501		Holly	Lane			De Pere	WI	54115
501		Jackson	St.			West Des Moines	IA	50265
501		Kingston	Ave.			Westwood	NJ	07675
501		Lakeview	Rd.			Harvey	IL	60426
501		Leatherwood	Drive			Miami Beach	FL	33139
501		Mayflower	Street			New Castle	PA	16101
501		North Country Club	Ave.			Phoenixville	PA	19460
501		North Walt Whitman	St.			Hoboken	NJ	07030
501		Pendergast	St.			Owensboro	KY	42301
501		Pleasant	Dr.			Canyon Country	CA	91387
501		Prospect	Dr.			Fremont	OH	43420
501		Riverview	Lane			Franklin	MA	02038
501		Sage	Drive			Hopewell	VA	23860
501		William	Lane			Missoula	MT	59801
501	E. 	Miles	Ave.			Bloomfield	NJ	07003
501	S. 	Glenridge	Dr.			Griffin	GA	30223
501C		New Saddle	Street			Merrick	NY	11566
502		Bayberry	Ave.			Westminster	MD	21157
502		Brewery	Dr.			Joliet	IL	60435
502		Center	St.			Hobart	IN	46342
502		Corona	Avenue			Middletown	CT	06457
502		Devon	Street			Teaneck	NJ	07666
502		Fieldstone	Dr.			Glastonbury	CT	06033
502		Market	Street			Brandon	FL	33510
502		Marsh	Road			Jonesboro	GA	30236
502		Mill	Dr.			Greer	SC	29650
502		North Lake	Street			Bismarck	ND	58501
502		Oak Valley	Ave.			New Philadelphia	OH	44663
502		Princeton	Street			Roseville	MI	48066
502		Queen	Street			Ocean Springs	MS	39564
502		South Harvard	Ave.			Duarte	CA	91010
502		South Schoolhouse	Street			Glen Allen	VA	23059
502		Surrey	Dr.			Winter Haven	FL	33880
502		Trusel	Dr.			Canfield	OH	44406
502		Windsor	St.			Tullahoma	TN	37388
503		Berkshire	Avenue			Ravenna	OH	44266
503		Coffee	Rd.			Galloway	OH	43119
503		Cross	Rd.			Buford	GA	30518
503		La Sierra	Lane			Crofton	MD	21114
503		Maple	Street			Billings	MT	59101
503		Ridgewood	Lane			Windermere	FL	34786
503		Shady	Court			East Elmhurst	NY	11369
503		Snake Hill	Lane			Grand Forks	ND	58201
503		Summit	Road			Fort Walton Beach	FL	32547
503		West Sierra	Court			Kingsport	TN	37660
503		William	Drive			Alliance	OH	44601
503	NW. 	Broad	St.			Missoula	MT	59801
504		Blue Spring	St.			Cranston	RI	02920
504		Bridle	Dr.			Norfolk	VA	23503
504		Carson	Road			Newtown	PA	18940
504		Charles	Street			Sheboygan	WI	53081
504		Hartford	Dr.			Granger	IN	46530
504		Henry Smith	Ave.			North Brunswick	NJ	08902
504		Homewood	Court			Whitestone	NY	11357
504		Honey Creek	Road			Princeton	NJ	08540
504		Howard	St.			Kansas City	MO	64151
504		Main	Drive			Inman	SC	29349
504		Marvon	Court			Sebastian	FL	32958
504		Old York	Street			Piscataway	NJ	08854
504		Peachtree	St.			Charlottesville	VA	22901
504		Pennington	Ave.			Columbus	GA	31904
504		Pennington	Street			Grand Island	NE	68801
504		Santa Clara	Road			Wilmington	MA	01887
504		Silver Spear	Street			Roy	UT	84067
504		Summit	Street			Ridgefield	CT	06877
504	E. 	Shub Farm	Street			Olney	MD	20832
504	N. 	William	St.			Sevierville	TN	37876
504	S. 	Dogwood	Ave.			Salisbury	MD	21801
505		Atlantic	St.			Glendora	CA	91740
505		Beacon	Dr.			Elyria	OH	44035
505		Canterbury	Ave.			Lincolnton	NC	28092
505		Court	St.			Canton	GA	30114
505		Hartford	Street			Rosemount	MN	55068
505		Ketch Harbour	St.			Murfreesboro	TN	37128
505		North Overlook	Lane			North Wales	PA	19454
505		Parker	Street			Mundelein	IL	60060
505		Ridgeview	Avenue			Tonawanda	NY	14150
505		San Pablo	St.			Brentwood	NY	11717
505		Shady	Ave.			Palm City	FL	34990
505		Silver Spear	St.			Detroit	MI	48205
505		Sunset	Drive			Knoxville	TN	37918
505		West Manor Station	Drive			Ann Arbor	MI	48103
505		William	St.			Springboro	OH	45066
505	E. 	Sulphur Springs	Ave.			Depew	NY	14043
505	E. 	Sunset	St. 	Suite	9	Lagrange	GA	30240
505	N. 	Evergreen	Street			Sioux Falls	SD	57103
505	NW. 	Lake Forest	Court			Royersford	PA	19468
506		Bowman	Circle			Greenfield	IN	46140
506		East Central	Lane			Port Charlotte	FL	33952
506		East Griffin	Lane			Conyers	GA	30012
506		Galvin	Dr.			Perkasie	PA	18944
506		Grove	Ave.			Lawrence Township	NJ	08648
506		Grove	Dr.			Bel Air	MD	21014
506		Helen	Avenue			Owatonna	MN	55060
506		Heritage	St.			Highland Park	IL	60035
506		North Greenview	St.			Winter Haven	FL	33880
506		Pierce	Lane			Findlay	OH	45840
506		Primrose	Ave.			Traverse City	MI	49684
506		Rockwell	Avenue			Langhorne	PA	19047
506		Squaw Creek	Street			Jersey City	NJ	07302
506	E. 	Lookout	St.			Suitland	MD	20746
506	NW. 	Forest	Street			Randallstown	MD	21133
506	SE. 	Thompson	St.			Lake Charles	LA	70605
507		10th	St.			Logansport	IN	46947
507		Columbia	Drive			Rolling Meadows	IL	60008
507		Elizabeth	Avenue			Woodbridge	VA	22191
507		Front	Street			Branford	CT	06405
507		Hartford	Dr.			Randolph	MA	02368
507		Mammoth	Dr.			Long Branch	NJ	07740
507		North Myers	Dr.			Parlin	NJ	08859
507		San Carlos	Circle			Lake Charles	LA	70605
507		Schoolhouse	St.			Lake Charles	LA	70605
507		Sherman	Drive			Pelham	AL	35124
507		St Louis	St.			Orchard Park	NY	14127
507		Walnutwood	St.			Bridgeport	CT	06606
507	S. 	Sierra	Rd.			Syosset	NY	11791
507	S. 	Tarkiln Hill	Drive			Royal Oak	MI	48067
508		Baker	Circle			Lanham	MD	20706
508		Court	Ave.			Loveland	OH	45140
508		Garfield	Ave.			Millington	TN	38053
508		Hill	Dr.			East Northport	NY	11731
508		Ryan	Drive			Sylvania	OH	43560
508		Ryan	St.			Grand Haven	MI	49417
508		Sheffield	Avenue			Lemont	IL	60439
508		Shirley	Street			Amarillo	TX	79106
508		Smoky Hollow	Rd.			Wisconsin Rapids	WI	54494
508		South Valley Farms	St.			Lithonia	GA	30038
508		Sulphur Springs	Dr.			Revere	MA	02151
508		Sunnyslope	St.			Bethesda	MD	20814
508		Talbot	Street			Goose Creek	SC	29445
508		Tanglewood	St.			East Meadow	NY	11554
508		Valley	St.			Harrisburg	PA	17109
508		Wayne	Street			Trussville	AL	35173
508		Windfall	Rd.			Kearny	NJ	07032
508	S. 	Inverness	Circle			Chippewa Falls	WI	54729
508	S. 	Peg Shop	St.			Rockville Centre	NY	11570
509		Annadale	Court			Eastlake	OH	44095
509		Argyle	Dr.			Dayton	OH	45420
509		Canal	Dr.			Glen Cove	NY	11542
509		Catherine	St.			Wisconsin Rapids	WI	54494
509		Clay	Dr.			Kennewick	WA	99337
509		Garfield	Rd.			Dothan	AL	36301
509		Gartner	St.			Hyde Park	MA	02136
509		Grandrose	Court			Marietta	GA	30008
509		High Ridge	Street			Ogden	UT	84404
509		Lyme	Street			Deltona	FL	32725
509		Military	Ave.			Davenport	IA	52804
509		Old Alton	Court			Kent	OH	44240
509		Paris Hill	St.			Lynn	MA	01902
509		Roberts	Lane			Stroudsburg	PA	18360
509		Somerset	Drive			Grand Haven	MI	49417
509		Thompson	Street			Bartlett	IL	60103
509		West Wood	Lane			Key West	FL	33040
509	N. 	Schoolhouse	Dr.			Lebanon	PA	17042
509	NE. 	Alton	Dr.			Brownsburg	IN	46112
50B		Adams	Lane			Voorhees	NJ	08043
51		3rd	Drive			Milton	MA	02186
51		Ann	Lane			Hixson	TN	37343
51		Arlington	Drive			Easley	SC	29640
51		Bank	Street			South Windsor	CT	06074
51		Bay Meadows	Ave.			Alexandria	VA	22304
51		Bayberry	Court			Lititz	PA	17543
51		Bayport	Street			Cedar Falls	IA	50613
